timestamp_ms,temperature_C,humidity_percent
282000,27.09,68.34
283000,27.05,68.52
284000,27.1,68.59
285000,26.93,68.57
286000,27.02,68.64
287000,26.99,68.55
288000,27.06,68.59
289000,27.04,68.59
290000,28.25,65.62
291000,28.18,65.24
292000,28.22,65.63
293000,28.24,65.3
294000,28.25,65.35
295000,28.16,65.42
296000,28.17,65.46
297000,28.21,65.39
298000,28.26,65.42
299000,28.22,65.56
