timestamp_ms,temperature_C,humidity_percent
141000,28.15,65.35
142000,28.17,65.36
143000,28.17,65.33
144000,28.16,65.28
145000,28.2,65.34
146000,28.2,65.31
147000,28.18,65.3
148000,28.17,65.33
149000,28.18,65.33
150000,28.16,65.32
151000,28.17,65.3
152000,28.17,65.29
153000,28.16,65.32
154000,28.19,65.37
155000,28.16,65.27
156000,28.17,65.3
157000,28.14,65.32
158000,28.19,65.32
159000,28.19,65.3
160000,28.19,65.39
161000,28.23,65.33
162000,28.2,65.29
163000,28.17,65.25
164000,28.22,65.31
165000,28.17,65.37
166000,28.2,65.33
167000,28.2,65.24
168000,28.17,65.27
169000,28.21,65.32
170000,28.2,65.36
171000,28.2,65.33
172000,28.18,65.33
173000,28.21,65.36
174000,28.18,65.37
175000,28.17,65.3
176000,28.22,65.34
177000,28.19,65.29
178000,28.2,65.29
179000,28.23,65.35
180000,28.22,65.28
181000,28.21,65.33
182000,28.22,65.34
183000,28.19,65.36
184000,28.22,65.29
185000,28.22,65.35
186000,28.22,65.33
187000,28.2,65.39
188000,28.15,65.31
189000,28.22,65.3
190000,28.21,65.36
191000,28.21,65.31
192000,28.22,65.3
193000,28.22,65.38
194000,28.22,65.36
195000,28.19,65.24
196000,28.19,65.32
197000,28.22,65.31
198000,28.22,65.38
199000,28.22,65.41
200000,28.22,65.43
201000,28.23,65.38
202000,28.22,65.32
203000,28.22,65.32
204000,28.23,65.33
205000,28.24,65.38
206000,28.22,65.41
207000,28.24,65.3
208000,28.23,65.39
209000,28.23,65.41
210000,28.22,65.39
211000,28.23,65.49
212000,28.24,65.4
213000,28.21,65.39
214000,28.23,65.41
215000,28.23,65.37
216000,28.22,65.35
217000,28.22,65.41
218000,28.21,65.44
219000,28.21,65.39
220000,28.21,65.43
221000,28.22,65.39
222000,28.22,65.46
223000,28.22,65.41
224000,28.24,65.43
225000,28.23,65.44
226000,28.22,65.37
227000,28.22,65.41
228000,28.21,65.48
229000,28.23,65.42
230000,28.23,65.47
231000,28.25,65.46
232000,28.25,65.36
233000,28.25,65.45
234000,28.26,65.39
235000,28.21,65.44
236000,28.24,65.42
237000,28.24,65.44
238000,28.23,65.44
239000,28.26,65.45
240000,28.26,65.43
241000,28.24,65.4
242000,28.23,65.41
243000,28.21,65.48
244000,28.21,65.51
245000,28.23,65.46
246000,28.22,65.48
247000,28.2,65.49
248000,28.22,65.41
249000,28.23,65.39
250000,28.23,65.46
251000,28.22,65.4
252000,28.21,65.45
253000,28.22,65.41
254000,28.22,65.44
255000,28.2,65.44
256000,28.23,65.49
257000,28.25,65.45
258000,28.22,65.43
259000,28.19,65.47
260000,28.21,65.58
261000,28.18,65.49
262000,28.18,65.41
263000,28.22,65.48
264000,28.21,65.57
265000,28.19,65.48
266000,28.17,65.52
267000,28.18,65.52
268000,28.2,65.52
269000,28.2,65.52
270000,28.21,65.49
271000,28.22,65.47
272000,28.19,65.47
273000,28.2,65.48
274000,28.19,65.49
275000,28.19,65.44
276000,28.19,65.47
277000,28.21,65.48
278000,28.18,65.48
279000,28.21,65.47
280000,28.21,65.51
281000,28.19,65.48
282000,28.19,65.47
283000,28.17,65.43
284000,28.22,65.45
285000,28.2,65.48
286000,28.19,65.48
287000,28.18,65.4
288000,28.19,65.51
289000,28.17,65.45
290000,28.18,65.44
291000,28.17,65.51
292000,28.19,65.51
293000,28.17,65.44
294000,28.19,65.46
295000,28.18,65.42
296000,28.18,65.49
297000,28.22,65.5
298000,28.19,65.45
299000,28.18,65.51
